Circuit,WindSustained,GustSustained,Thresholds,FPI,Reasons,Month,pspsActivated
ARLENE,33.79,53.63,31/46,12.07,High Wind Trend - Exceeded FPI,NOV,1
TWIN LAKES,8.6,21.5,31/46,4.3,,OCT,0
TAHQUITZ,21.8,39.7,31/46,13.47,High Wind Trend - Exceeded FPI,NOV,1
STEEL,24.3,46.9,30/43,12.9,Exceeded Threshold - Exceeded FPI,DEC,1
GUITAR,29.1,43.3,31/46,12.7,High Wind Trend - Exceeded FPI,JAN,1
CONDOR,26.1,35.3,31/46,13.51,Exceeded Threshold - Exceeded FPI,DEC,1
NAPOLEON,12.6,19.7,31/45,3.94,,OCT,0
ANTON,35,53,31/46,13.88,Exceeded Threshold - Exceeded FPI,SEP,1
ECHO,9.5,16.1,31/46,3.22,,DEC,0
CASTRO,10,16.8,30/46,3.36,,DEC,0
MIDDLE ROAD,14.6,38.5,26/42,12.97,High Wind Trend - Exceeded FPI,DEC,1
ANTON,7.1,21.8,31/46,4.36,,OCT,0
ROS,9.3,17,27/39,3.4,,DEC,0
BALCOM,28.1,38,31/46,12.4,High Wind Trend - Exceeded FPI,JAN,1
STEEL,11,16,30/43,3.2,,NOV,0
DAVENPORT,14.9,21,31/46,4.2,,OCT,0
TAIWAN,32.18,61.74,31/46,12.48,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
SOGGY,28.2,42.8,28/40,12.01,Exceeded Threshold - Exceeded FPI,NOV,1
ZONE,28.7,46.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
AMETHYST,25.7,57.5,31/46,12.87,Exceeded Threshold - Exceeded FPI,DEC,1
SAND CANYON,11.1,18.3,31/46,3.66,,SEP,0
DYSART,22.8,45.3,31/46,13.9,Downstream circuit fed by Shovel (source de-energized),DEC,1
FINGAL,12.4,19.4,31/46,3.88,,DEC,0
COBRA,32.1,45.5,31/42,13.47,Exceeded Threshold - Exceeded FPI,DEC,1
FINGAL,9.2,16.1,31/46,3.22,,NOV,0
DARTMOUTH,12.5,20.1,31/45,4.02,,OCT,0
ICEHOUSE,17.02,45.52,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
GREAT SALT,28.2,42.8,29/42,12.98,Exceeded Threshold - Exceeded FPI,NOV,1
LAUDA,9.5,21.5,31/45,4.3,,DEC,0
RED BOX,16,46,31/46,14.01,Exceeded Threshold - Exceeded FPI,SEP,1
ENERGY,12.6,17.7,31/46,3.54,,OCT,0
MODJESKA,23.84,54.24,30/44,12.49,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
LOUCKS,9.1,17.9,31/46,3.58,,NOV,0
FROZEN,13.4,21.1,31/46,4.22,,DEC,0
SHOVEL,23.6,36.9,31/46,12.8,High Wind Trend - Exceeded FPI,JAN,1
SANTORINI,22.3,41.8,31/42,12.88,High Wind Trend - Exceeded FPI,DEC,1
CONDOR,27.2,41.9,31/46,13.51,High Wind Trend - Exceeded FPI,DEC,1
CALSTATE,14.4,20.9,31/46,4.18,,OCT,0
LOUCKS,14,21.3,31/46,4.26,,NOV,0
PICK,7,17.6,31/46,3.52,,NOV,0
DAVENPORT,7.6,15.1,31/46,3.02,,OCT,0
CASTRO,28.5,49.17,29.8/46,12.41,Exceeded Threshold - Exceeded FPI,JAN,1
LOPEZ,19.88,54.43,31/46,12.55,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
CALGROVE,13.5,18.2,31/46,3.64,,OCT,0
CONDOR,13.8,15.8,31/46,3.16,,NOV,0
TANAGER,7.2,20.2,31/44,4.04,,NOV,0
TANAGER,7.8,20.5,30/44,4.1,,DEC,0
GABBERT,11.1,20.4,31/46,4.08,,NOV,0
AMETHYST,25.7,57.5,31/46,12.51,High Wind Trend - Exceeded FPI,NOV,1
TAPO,11.9,20.3,31/46,4.06,,NOV,0
ANTON,10,20.7,31/46,4.14,,OCT,0
ANTON,23.5,40.1,31/46,14.03,High Wind Trend - Exceeded FPI,NOV,1
NORTHPARK,32,52,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
TAIWAN,29.5,54.36,31/46,12.48,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
JEEP,26.98,40.92,27/43,12.26,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
VARGAS,21,40,31/46,12.5,High Wind Trend - Exceeded FPI,JAN,1
FERRARA,7.8,16,31/46,3.2,,OCT,0
MARCUS,36,50.5,31/46,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
TAIWAN,23.9,43.2,31/46,12.98,High Wind Trend - Exceeded FPI,NOV,1
COOLER,,,31/46,12.45,Observed Hazard,OCT,1
PASCAL,29.9,40,31/44,12.81,High Wind Trend - Exceeded FPI,DEC,1
ANTON,25.2,40.4,31/46,12.5,High Wind Trend - Exceeded FPI,JAN,1
BOOTLEGGER,16,41,31/46,13.98,Exceeded Threshold - Exceeded FPI,SEP,1
Exceeded Threshold STROSNIDER,14.3,15,31/46,3,,NOV,0
GRAPEVINE PEAK,19,24,31/46,12.7,Preemptive: To coordinate with PG&E resources,JAN,1
BIG ROCK,7,16.6,31/46,3.32,,DEC,0
STORES,26.3,44.1,31/46,14.44,High Wind Trend - Exceeded FPI,DEC,1
MODJESKA,9.4,21,30/44,4.2,,OCT,0
RUSTIC,13.9,18.7,31/46,3.74,,NOV,0
STUBBY,25.9,41.9,31/46,13.03,High Wind Trend - Exceeded FPI,NOV,1
ANTON,8.4,18.2,31/46,3.64,,DEC,0
CAMP BALDY,13.3,22,31/46,4.4,,DEC,0
ROUNDEL,14.3,19.2,31/44,3.84,,NOV,0
VARGAS,25.1,46.9,31/46,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
NORTHPARK,16.32,41.5,31/46,13.92,High Wind Trend - Exceeded FPI,NOV,1
RANKIN,27.3,45,31/46,13.53,High Wind Trend - Exceeded FPI,DEC,1
GILMAN,13.9,15.5,31/45,3.1,,OCT,0
SHOVEL,23.4,39.9,25/40,12.11,High Wind Trend - Exceeded FPI,NOV,1
GREEN RIVER,35.2,61.2,30.55/39.5,,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
ANTON,30.3,47.4,31/46,12.9,Exceeded Threshold - Exceeded FPI,DEC,1
CUDDEBACK,13.1,15.8,23/37,3.16,,NOV,0
CONDOR,13,15.3,31/46,3.06,,DEC,0
ARLENE,7.1,17.6,31/46,3.52,,OCT,0
SAND CANYON,22.5,44.9,31/46,12.7,High Wind Trend - Exceeded FPI,JAN,1
NORTHPARK,32.5,49,31/46,12.71,Exceeded Threshold - Exceeded FPI,JAN,1
SAND CANYON,30.3,39,31/46,13.9,High Wind Trend - Exceeded FPI,DEC,1
SAND CANYON,14.5,15.1,31/46,3.02,,NOV,0
NORTHPARK,12,20.9,31/46,4.18,,NOV,0
BELPAC,31.96,43.91,31/42.42,12,Exceeded Threshold - Exceeded FPI,JAN,1
SCHMIDT,17.9,40,31/44,14.04,High Wind Trend - Exceeded FPI,NOV,1
SAGINAW,15.6,44.6,24/40,12,Exceeded Threshold - Exceeded FPI,JAN,1
RAINBOW,7.7,20.5,31/46,4.1,,DEC,0
GINGER,13.9,15.8,28/40,3.16,,NOV,0
DYSART,10.5,18.5,31/46,3.7,,DEC,0
CASTRO,28.7,41.1,30/46,12.99,High Wind Trend - Exceeded FPI,DEC,1
VERA CRUZ,14.6,17.3,28/42,3.46,,NOV,0
GILMAN,20.2,41.5,31/45,12.97,High Wind Trend - Exceeded FPI,DEC,1
BIRCHIM,10.4,18.8,31/46,3.76,,NOV,0
WINERY,21.3,40,29/42,14.45,High Wind Trend - Exceeded FPI,DEC,1
SAND CANYON,26,50.9,31/46,12.98,Exceeded Threshold - Exceeded FPI,DEC,1
ESTABAN,18.2,40.6,31/45,12.95,High Wind Trend - Exceeded FPI,DEC,1
High Wind Trend SKI HI,26.7,41.1,31/46,12.53,Exceeded FPI,NOV,1
GUITAR,13.6,16.9,31/46,3.38,,OCT,0
CONDOR,35,51.4,31/46,13.1,Exceeded Threshold - Exceeded FPI,JAN,1
JONAGOLD,28.6,45.4,28/39,12,Exceeded Threshold - Exceeded FPI,JAN,1
SAND CANYON,8.2,17.7,31/46,3.54,,NOV,0
LOUCKS,9.4,20.6,31/46,4.12,,OCT,0
TANAGER,27.8,46.8,30.67/44.07,12,Exceeded Threshold - Exceeded FPI,DEC,1
GILLIBRAND,15.7,42.7,31/46,12.91,High Wind Trend - Exceeded FPI,DEC,1
RICARDO,12.3,17.6,31/46,3.52,,DEC,0
ESTABAN,13.6,21.2,31/45,4.24,,NOV,0
BALCOM,9.2,21.3,31/46,4.26,,DEC,0
LOUCKS,13.1,20.4,31/46,4.08,,OCT,0
GNATCATCHER,26.11,35.3,31/46,12.75,High Wind Trend - Exceeded FPI,NOV,1
ENERGY,14.9,19.3,31/45,3.86,,OCT,0
CONDOR,14.5,21.1,31/46,4.22,,DEC,0
ARLENE,39.7,51,31/46,12.09,Exceeded Threshold - Exceeded FPI,NOV,1
HILLFIELD,36.6,51.7,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
RAINBOW,14,16.9,31/46,3.38,,DEC,0
FORTUNE,13.6,17.6,31/45,3.52,,DEC,0
BIG ROCK,29.8,43.3,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
GILMAN,11.9,21.1,31/45,4.22,,NOV,0
PYLE,13.8,19.6,28/44,3.92,,NOV,0
CUTHBERT,27.9,47.5,31/46,12,Exceeded Threshold - Exceeded FPI,NOV,1
CHAWA,7,20.3,31/46,4.06,,NOV,0
ATENTO,19.4,38.4,31/46,13.01,High Wind Trend - Exceeded FPI,NOV,1
NORTHPARK,9.5,19,31/46,3.8,,OCT,0
GRAPEVINE PEAK,12,17.3,31/46,3.46,,DEC,0
NAPOLEON,10.6,20.4,31/45,4.08,,DEC,0
TOGA,29,49,31/41.7,12,Exceeded Threshold - Exceeded FPI,JAN,1
HILLFIELD,10.1,20.5,31/46,4.1,,OCT,0
COLLINS,14,17.3,31/43,3.46,,NOV,0
PYLE,26.5,45.6,28/44,12,Exceeded Threshold - Exceeded FPI,NOV,1
ACOSTA,23.4,46.1,31/46,13.8,Exceeded Threshold - Exceeded FPI,JAN,1
DE MILLE,8.1,16.3,31/46,3.26,,OCT,0
TWIN LAKES,35.5,46.7,31/45,12.2,Exceeded Threshold - Exceeded FPI,JAN,1
CONDOR,9.1,19.7,31/46,3.94,,OCT,0
METTLER,23,32.7,23/37,12.15,Exceeded Threshold - Exceeded FPI,NOV,1
OAK KNOLL,34.6,49,31/46,12.14,Exceeded Threshold - Exceeded FPI,DEC,1
BLACKHILLS,12.4,18.4,31/46,3.68,,OCT,0
ANTON,25.2,40.4,31/46,12.5,High Wind Trend - Exceeded FPI,JAN,1
HILLCREST,34.6,50.3,31/45,12.6,Exceeded Threshold - Exceeded FPI,JAN,1
ANACONDA,12.8,21.6,31/42,4.32,,OCT,0
CABANA,8.1,16.5,31/46,3.3,,OCT,0
CUTHBERT,8.4,18.2,31/46,3.64,,OCT,0
CALSTATE,42.5,50.9,31/46,13.8,Exceeded Threshold - Exceeded FPI,DEC,1
CAIN RANCH,28.8,56.2,31/46,13.18,Exceeded Threshold - Exceeded FPI,NOV,1
TIMBER,7.6,21.6,31/46,4.32,,DEC,0
VARGAS,21.16,66.49,31/46,12.53,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
TAPO,32,44,31/46,12.55,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
LYONS,14.5,21.5,31/46,4.3,,OCT,0
MORGANSTEIN,27.4,48.7,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
BUCKHORN,26.4,41.8,31/46,12,High Wind Trend - Exceeded FPI,DEC,1
TAGGERT,10.9,21.1,31/46,4.22,,DEC,0
BLUE CUT,23.29,43.99,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
NAPOLEON,29.4,41,31/45,13.8,High Wind Trend - Exceeded FPI,DEC,1
DUKE,26.9,40.6,30/46,13.04,High Wind Trend - Exceeded FPI,NOV,1
BING,24.3,44.4,31/45,14.04,High Wind Trend - Exceeded FPI,NOV,1
BEAR VALLEY,14.6,15.7,18/29,3.14,,OCT,0
JEEP,10.2,16,27/43,3.2,,OCT,0
TAPO,13.2,15.3,31/46,3.06,,DEC,0
ENERGY,31.4,45.7,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
RED BOX,28.6,45.4,31/45,12,Exceeded Threshold - Exceeded FPI,JAN,1
SAND CANYON,8.9,19,31/46,3.8,,OCT,0
PASCAL,15,18.4,31/44,3.68,,DEC,0
AMETHYST,13.8,17.8,31/46,3.56,,DEC,0
RUSTIC,12.4,21.3,31/46,4.26,,NOV,0
ESTABAN,9.3,15.4,26/38,3.08,,DEC,0
DAVENPORT,13.3,15.2,31/46,3.04,,DEC,0
VERDEMONT,11.4,18.1,31/46,3.62,,OCT,0
LOUCKS,13,19.4,31/46,3.88,,DEC,0
ZENDA,23.5,44.1,31/46,13.54,High Wind Trend - Exceeded FPI,DEC,1
ENERGY,20.3,48.1,31/46,13.04,Exceeded Threshold - Exceeded FPI,NOV,1
SAND CANYON,10.7,21.7,31/46,4.34,,NOV,0
RMV 1243,26,55,31/46,12,Exceeded Threshold - Exceeded FPI,NOV,1
BEAR VALLEY,8.94,29.88,18/29,13.24,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
CUDDEBACK,19.2,31.6,23/37,12.15,High Wind Trend - Exceeded FPI,NOV,1
CUTHBERT,29.9,46.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
LANGER,12.8,21.4,31/45,4.28,,OCT,0
VERA CRUZ,11.7,15.9,28/42,3.18,,DEC,0
COOLER,12,15.3,31/46,3.06,,OCT,0
ROUNDEL,29.5,44.1,31/44,12,Exceeded Threshold - Exceeded FPI,DEC,1
BIG ROCK,14.6,21.6,31/46,4.32,,NOV,0
LOPEZ,9.2,40.8,31/46,14.06,High Wind Trend - Exceeded FPI,NOV,1
ENERGY,28.5,46,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
ESCONDIDO,31.6,50.1,31/46,12.8,Source Circuit De-energized: DAVENPORT,JAN,1
SAND CANYON,14.9,21,31/46,4.2,,DEC,0
ACOSTA,14,18.2,31/46,3.64,,OCT,0
NAPOLEON,29.8,45.1,31/45,12,Exceeded Threshold - Exceeded FPI,JAN,1
BALCOM,10.1,19.5,31/46,3.9,,NOV,0
BUCKHORN,13.5,17.5,31/46,3.5,,DEC,0
MORELLO,21.5,40.1,31/45,13.05,High Wind Trend - Exceeded FPI,NOV,1
CASSIDY,29.1,49.3,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
SHOVEL,21.77,44.5,25/40,12.12,High Wind Trend - Exceeded FPI,NOV,1
SAVORY,23.4,42.7,29/42,12.93,Exceeded Threshold - Exceeded FPI,DEC,1
SUTT,14,19.5,31/46,3.9,,OCT,0
FLYING D,11.1,18.6,31/46,3.72,,DEC,0
FROZEN,7.2,17.6,31/46,3.52,,OCT,0
RAINBOW,12.6,17.7,31/46,3.54,,OCT,0
GALENA,33,43,31/46,14,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
BEAR VALLEY,13.48,29,18/29,13.24,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
SHOVEL,7.3,15.4,31/46,3.08,,DEC,0
STORES,9,16.3,31/46,3.26,,NOV,0
ENERGY,11.1,20.1,31/46,4.02,,DEC,0
GNATCATCHER,26.1,35.3,31/46,13.53,Exceeded Threshold - Exceeded FPI,DEC,1
GNATCATCHER,10.7,16.9,31/46,3.38,,DEC,0
GUITAR,11,20.9,31/46,4.18,,OCT,0
JULIUS,29.8,43.7,31/46,12,High Wind Trend - Exceeded FPI,JAN,1
ENERGY,31.2,49.8,31/46,12.1,High Wind Trend - Exceeded FPI,NOV,1
CANAL,8,18.7,27/44,3.74,,DEC,0
STAR ROCK,8.3,21.7,31/44,4.34,,OCT,0
FINGAL,28,46,31/46,12,Exceeded Threshold - Exceeded FPI,DEC,1
DYSART,14.3,16,31/46,3.2,,NOV,0
BIG ROCK,29.8,43.3,31/46,12.94,High Wind Trend - Exceeded FPI,DEC,1
IMPALA,10.9,20.5,31/46,4.1,,DEC,0
TAIWAN,7.2,16.2,31/46,3.24,,OCT,0
OLIVER,11.8,15.5,29/42,3.1,,NOV,0
NORTHPARK,11.8,17.3,31/46,3.46,,OCT,0
KINSEY,46,66,31/46,12.93,Exceeded Threshold - Exceeded FPI,JAN,1
WHITECLIFF,34.2,48,31/46,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
CLARINET,30.4,47.79,31/46,12,Exceeded Threshold - Exceeded FPI,JAN,1
LAUDA,12.6,17.8,31/45,3.56,,OCT,0
CABANA,33.7,47.4,31/46,12.8,Exceeded Threshold - Exceeded FPI,JAN,1
LARCH,9.2,16.4,31/46,3.28,,OCT,0
RUSTIC,26.72,37.85,31/46,12.86,High Wind Trend - Exceeded FPI,NOV,1
JULIUS,10.5,16.1,31/46,3.22,,DEC,0
CABANA,34.4,49.5,31/46,12.8,Exceeded Threshold - Exceeded FPI,DEC,1
WHITECLIFF,14.8,15.5,31/46,3.1,,OCT,0
LOUCKS,16,37,31/46,14.77,Exceeded Threshold - Exceeded FPI,SEP,1
CONDOR,7.3,20,31/46,4,,OCT,0
BONNEVILLE,19.1,37.9,28/40,12,High Wind Trend - Exceeded FPI,NOV,1
VERA CRUZ,33.6,52.4,28.04/42,,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
SUTT,14.9,19.7,31/46,3.94,,DEC,0
ZONE,14.8,17.9,31/46,3.58,,OCT,0
CABANA,8,20.7,31/46,4.14,,OCT,0
PATRICIA,8.2,21.8,31/46,4.36,,DEC,0
SADDLEBACK,22.8,45.3,31/46,13.9,High Wind Trend - Exceeded FPI,DEC,1
CASTRO,19.9,42.8,30/46,12.99,High Wind Trend - Exceeded FPI,DEC,1
METTLER,11.2,17.9,23/37,3.58,,OCT,0
TWIN LAKES,11.6,21.8,31/46,4.36,,NOV,0
ENERGY,32,46.3,31/46,13,Exceeded Threshold - Exceeded FPI,DEC,1
TIMBER CANYON,23.4,43.3,31/46,14.03,High Wind Trend - Exceeded FPI,NOV,1
BOOTLEGGER,12,16.3,31/46,3.26,,OCT,0
VERA CRUZ,31.4,43.3,28./42,12,Exceeded Threshold - Exceeded FPI,NOV,1
TUFA,29.7,36.6,31/46,13.94,High Wind Trend - Exceeded FPI,DEC,1
SONOMA,11.9,18.9,27/39,3.78,,DEC,0
CUDDEBACK,9.2,20.6,23/37,4.12,,NOV,0
TAPO,28.2,46.3,31/46,13.03,Exceeded Threshold - Exceeded FPI,NOV,1
PICK,18.8,47.4,31/46,12.09,Exceeded Threshold - Exceeded FPI,NOV,1
CUTHBERT,10,20.2,31/46,4.04,,OCT,0
IMPALA,14.7,16.5,31/46,3.3,,OCT,0
NORTHPARK,11.5,17.1,31/46,3.42,,NOV,0
ENCHANTED,13,18.5,31/46,3.7,,DEC,0
RED BOX,31,52,31/46,13.42,Exceeded Threshold - Exceeded FPI,DEC,1
GALENA,37.7,59.6,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
BLACKHILLS,32.1,47.1,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
ACOSTA,11.1,21.3,31/46,4.26,,OCT,0
SAND CANYON,33.36,49.98,31/46,13,Exceeded Threshold - Exceeded FPI,DEC,1
GNATCATCHER,21.41,42.45,31/46,13.1,High Wind Trend - Exceeded FPI,JAN,1
BENCH,26.5,40.7,29/42,12.99,High Wind Trend - Exceeded FPI,DEC,1
DUKE,21.5,40.1,30/46,13.04,High Wind Trend - Exceeded FPI,NOV,1
CONINE,31,46.3,28/40,12,Exceeded Threshold - Exceeded FPI,JAN,1
FLYING D,25.7,44.9,31/46,12.57,High Wind Trend - Exceeded FPI,DEC,1
NORTHPARK,12,43.1,31/46,12.9,High Wind Trend - Exceeded FPI,NOV,1
BADGER,9.3,16.1,31/46,3.22,,OCT,0
LOUCKS,9.9,16.2,31/46,3.24,,DEC,0
GILLIBRAND,15.8,41.5,31/46,12,High Wind Trend - Exceeded FPI,NOV,1
SHOVEL,22.8,33.5,25/40,13.53,High Wind Trend - Exceeded FPI,DEC,1
GRAPEVINE PEAK,8,20,31/46,4,,OCT,0
DAVENPORT,28.1,45,31/46,14.54,High Wind Trend - Exceeded FPI,DEC,1
VETERANS,16.5,45.7,31/46,14.4,High Wind Trend - Exceeded FPI,DEC,1
DONLON,19.7,50.4,31/46,12.95,Exceeded Threshold - Exceeded FPI,DEC,1
DARTMOUTH,18.1,38.8,31/45,13.02,High Wind Trend - Exceeded FPI,NOV,1
CONDOR,13,18.9,31/46,3.78,,DEC,0
BIG ROCK,14.1,17.8,31/46,3.56,,OCT,0
OLIVER,14.8,41,29/42,12.99,High Wind Trend - Exceeded FPI,NOV,1
ENERGY,11,15.6,31/46,3.12,,OCT,0
NORTHPARK,30.7,42.8,31/46,13,High Wind Trend - Exceeded FPI,DEC,1
ENERGY,12.1,21.6,31/46,4.32,,OCT,0
GABBERT,15.7,46.1,31/46,14,Exceeded Threshold - Exceeded FPI,NOV,1
MARCUS,10.4,20.8,31/46,4.16,,OCT,0
PHEASANT,32.8,45.3,31/45,13.9,Exceeded Threshold - Exceeded FPI,DEC,1
LAUDA,22.9,38.7,31/45,13.02,High Wind Trend - Exceeded FPI,NOV,1
FINGAL,26.8,53.1,31/46,12.17,Exceeded Threshold - Exceeded FPI,NOV,1
NORTHPARK,8,20.5,31/46,4.1,,DEC,0
ATENTO,8.3,18.3,31/46,3.66,,NOV,0
ANTON,8.2,16.3,31/46,3.26,,OCT,0
SUTT,25.4,39.5,31/46,,High Wind Trend - Meteorologist Advised,JAN,1
HONEYCRISP,22.4,38.9,24/42,12.04,High Wind Trend - Exceeded FPI,NOV,1
AMETHYST,19.7,55.8,31/46,12.97,Exceeded Threshold - Exceeded FPI,NOV,1
RANIER,21.9,41.1,31/45,13.05,High Wind Trend - Exceeded FPI,NOV,1
TWIN LAKES,7.8,15.2,31/45,3.04,,DEC,0
TWIN LAKES,14.7,18.2,31/45,3.64,,OCT,0
ROSA,15,17.5,31/46,3.5,,OCT,0
DAVENPORT,24.3,39.82,31/46,12.82,High Wind Trend - Exceeded FPI,JAN,1
BIG ROCK,31.4,36.4,31/46,12.2,Exceeded Threshold - Exceeded FPI,JAN,1
GUITAR,31.1,42.2,31/46,12.66,Exceeded Threshold - Exceeded FPI,JAN,1
TAPO,7.9,20.3,31/46,4.06,,NOV,0
ENERGY,10.3,19.7,31/46,3.94,,NOV,0
NAPA,28.6,40.9,28/39,12,Exceeded Threshold - Exceeded FPI,NOV,1
BUCKNER,11.4,18.3,31/45,3.66,,OCT,0
DAVENPORT,8.2,15.7,31/46,3.14,,DEC,0
BONNEVILLE,10,21.6,28/40,4.32,,NOV,0
FOOTHILL,10.4,15.2,26/36,3.04,,DEC,0
ERRINGER,28.7,54.6,31/45,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
SAND CANYON,37,52.8,31/46,13.1,High Wind Trend - Exceeded FPI,NOV,1
SHOVEL,8.8,16.5,31/46,3.3,,SEP,0
SAND CANYON,22.1,44.5,31/46,12.11,High Wind Trend - Exceeded FPI,NOV,1
MORELLO,12.1,15.5,31/45,3.1,,NOV,0
Energy,9.1,17.5,31/46,3.5,,OCT,0
LOCKNER,8.1,17.1,31/45,3.42,,DEC,0
RICARDO,31.1,55.3,31/46,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
CANEBRAKE,13,20.7,31/46,4.14,,OCT,0
CALSTATE,39.7,50.6,31/46,12.79,Exceeded Threshold - Exceeded FPI,DEC,1
GLASSCOCK,25.1,41.7,31/45,12.92,High Wind Trend - Exceeded FPI,DEC,1
TRAILKIMDALE,11.2,19.4,31/45,3.88,,OCT,0
RED BOX,11.1,16.2,31/46,3.24,,SEP,0
DAVENPORT,26.4,43.4,31/46,12.11,High Wind Trend - Exceeded FPI,NOV,1
STEEL,32.1,51,30/43,12.6,Exceeded Threshold - Exceeded FPI,JAN,1
GOLDSMITH,29.5,46.8,31/45,13.1,Exceeded Threshold - Exceeded FPI,JAN,1
TIMBER CANYON,7.9,16,31/46,3.2,,NOV,0
CAMP BALDY,15.2,39.6,31/46,13.2,High Wind Trend - Exceeded FPI,DEC,1
CALSTATE,10.4,20,31/46,4,,NOV,0
SWEETWATER,34.9,54.4,31/46,13.7,Exceeded Threshold - Exceeded FPI,DEC,1
STEARNS,19.6,45.5,31/46,12.91,High Wind Trend - Exceeded FPI,DEC,1
SAND CANYON,22.4,47.1,31/46,12.7,Exceeded Threshold - Exceeded FPI,JAN,1
VERDEMONT,37.7,56.9,31/46,12.5,Exceeded Threshold - Exceeded FPI,JAN,1
CALGROVE,29.5,45.7,31/46,12.7,High Wind Trend - Exceeded FPI,JAN,1
SHOVEL,10,17.2,25/40,3.44,,NOV,0
DAVENPORT,17.5,42.2,31/46,14.54,High Wind Trend - Exceeded FPI,DEC,1
CASTRO,8.9,20.3,29/46,4.06,,OCT,0
PHEASANT,30.2,41.7,31/45,13.03,High Wind Trend - Exceeded FPI,NOV,1
JORDAN,14.4,19.7,27/46,3.94,,NOV,0
MODJESKA,12.3,20.8,30/44,4.16,,NOV,0
GNATCATCHER,29,44.21,31/46,13.1,High Wind Trend - Exceeded FPI,JAN,1
TAGGERT,34.6,49,31/46,12.32,Exceeded Threshold - Exceeded FPI,DEC,1
TAHQUITZ,32.6,48.2,31/46,12,Exceeded Threshold - Exceeded FPI,JAN,1
SAND CANYON,35,49,31/46,12.7,Exceeded Threshold - Exceeded FPI,JAN,1
BIG ROCK,14.5,20.4,31/46,4.08,,NOV,0
LAUDA,8.7,17.1,31/45,3.42,,NOV,0
LOUCKS,30,46.3,31/46,13.9,Downstream circuit fed by Shovel (source de-energized),DEC,1
BONNEVILLE,11.1,36,28/40,12,High Wind Trend - Exceeded FPI,NOV,1
SAND CANYON,7.9,16.6,31/46,3.32,,NOV,0
WHITECLIFF,12.2,19,31/46,3.8,,OCT,0
ATENTO,23.99,42.89,31/46,12.93,High Wind Trend - Exceeded FPI,NOV,1
RED BOX,11.3,19.6,31/46,3.92,,OCT,0
METTLER,22.1,33.6,23/37,12.15,High Wind Trend - Exceeded FPI,NOV,1
ANTON,9.8,15.4,31/46,3.08,,NOV,0
SADDLEBACK,9.4,16.4,31/46,3.28,,DEC,0
ESTABAN,20.5,50.9,31/45,13.97,Exceeded Threshold - Exceeded FPI,NOV,1
VERA CRUZ,10.3,19.1,28/42,3.82,,OCT,0
ESTABAN,21.7,42.1,31/45,13.97,High Wind Trend - Exceeded FPI,NOV,1
MIDDLE ROAD,20.6,40.9,26/42,12,High Wind Trend - Exceeded FPI,NOV,1
REVERSE PEAK,8.7,18.2,31/46,3.64,,NOV,0
CANEBRAKE,12.6,17.5,31/46,3.5,,OCT,0
SUTT,10.7,15.1,31/46,3.02,,OCT,0
GILMAN,30,51.4,31/45,12,Source Circuit De-Energized: Lauda,JAN,1
ANGUS,28.8,46,31/46,12.4,Exceeded Threshold - Exceeded FPI,JAN,1
CALGROVE,31.6,43.6,31/46,12,Exceeded Threshold - Exceeded FPI,JAN,1
ATENTO,8.7,21.2,31/46,4.24,,NOV,0
SAND CANYON,36,49,31/46,13.34,Exceeded Threshold - Exceeded FPI,NOV,1
SUTT,35.97,59.99,31/46,12.57,Exceeded Threshold - High Wind Trend - Exceeded FPI,OCT,1
ACOSTA,32.2,57.1,31/46,13.95,Exceeded Threshold - Exceeded FPI,NOV,1
DUKE,12.2,20.8,30/46,4.16,,NOV,0
